Valor Total dos Rendimentos recebidos
Sigla,Código,Município,1970,1980,1991,2000,
BA,2908408,Conceição do Coité,1359.7114407116,3895.1042113306,2648.7349849256,5277.6869750014,
BA,2908507,Conceição do Jacuípe,764.4034163491,1705.0208142112,1743.6208396661,3646.4359072076,
BA,2908606,Conde,471.2466168988,984.5627110109,606.0883708037,1683.0254126035,
BA,2908705,Condeúba,553.7438429138,1160.8995625821,1090.146320294,1942.9778256867,
BA,2908804,Contendas do Sincorá,233.4210949941,453.6230730077,266.9945450847,410.2790462213,
BA,2908903,Coração de Maria,559.6715037087,1512.2772784027,1468.5881435062,2179.3164301185,
BA,2909000,Cordeiros,248.5403511191,370.3091670618,393.1390996796,686.4830999494,
BA,2909109,Coribe,510.1267751895,720.2571971622,804.2714073565,785.8193499791,
BA,2909208,Coronel João Sá,243.4071689111,732.0819333444,690.7444875855,1100.3027600332,
BA,2909307,Correntina,826.8192778874,1836.4550318552,1419.131811909,2738.2797596533,
BA,2909406,Cotegipe,443.4302011678,1616.2388498813,523.5580519181,1029.9563363462,
BA,2909505,Cravolândia,127.3717349091,393.2145164378,162.2991355209,370.4491927344,
BA,2909604,Crisópolis,303.8464991718,1155.1576106631,884.0671719381,1523.8638999348,
BA,2909703,Cristópolis,21.2634171675,312.781981233,653.6646330981,977.244897392,
BA,2909802,Cruz das Almas,1355.1398060206,4125.7440742211,3765.9241385627,8315.1864974214,
BA,2909901,Curaçá,512.6648539841,1070.9249762804,1339.0349529715,2716.4515095524,
BA,2910008,Dário Meira,316.6229133326,851.7736769575,425.1476186792,839.3680943926,
BA,2910057,Dias d'Ávila,,,3309.8326597541,6592.4850055279,
BA,2910107,Dom Basílio,121.1048259585,352.6156805468,485.1300326632,906.5161142704,
BA,2910206,Dom Macedo Costa,195.5383842723,377.621134253,162.8835538268,363.6242860959,
BA,2910305,Elísio Medrado,192.403963278,443.1603220498,348.9387484698,833.4974049067,
BA,2910404,Encruzilhada,587.071349767,1630.9321873531,956.374590723,2654.9675457,
BA,2910503,Entre Rios,713.6573047599,1670.6665537751,1417.8192431657,4095.1120262269,
BA,2910602,Esplanada,682.5972513919,1498.5603783279,1339.8408394943,2249.8181441412,
BA,2910701,Euclides da Cunha,959.3009985494,3075.1018707941,2034.6630085141,4222.3656228853,
BA,2910727,Eunápolis,,,6229.6191647322,16295.2759360642,
BA,2910750,Fátima,,,566.8755902444,1546.5500154029,
BA,2910776,Feira da Mata,,,454.5171333926,426.723497862,
BA,2910800,Feira de Santana,14472.0151038136,40317.9653965271,49097.2924559663,97877.1046193685,
BA,2910859,Filadélfia,,,612.7974729566,909.5599948485,
