Código;Município;renda_1970;renda_1980;renda_1991;renda_2000
1300201;Atalaia do Norte;3,112,461,683,461;5,274,654,062,683;3,068,016,855,764;7,629,403,390,494
1300300;Autazes;7,353,778,853,965;11,533,159,869,157;11,952,335,364,366;21,182,992,298,125
1300409;Barcelos;5,848,415,905,213;11,252,904,010,946;8,665,165,038,677;16,575,778,893,867
1300508;Barreirinha;3,628,486,157,357;8,874,347,227,429;7,815,862,371,472;13,716,207,271,922
1300607;Benjamin Constant;6,983,002,849,701;23,946,562,840,347;16,740,241,616,231;17,570,944,872,306
1300631;Beruri;;;3,324,826,735,235;7,566,492,109,142
1300680;Boa Vista do Ramos;;;3,717,569,423,538;5,943,246,788,161
1300706;Boca do Acre;8,489,747,920,569;22,540,605,449,506;15,603,678,473,503;25,400,175,295,295
1300805;Borba;4,277,735,604,998;17,550,012,541,603;11,061,487,299,435;17,084,658,796,071
1300839;Caapiranga;;;4,253,559,006,619;6,912,776,384,149
1300904;Canutama;2,240,845,218,196;4,931,046,042,886;6,075,788,162,659;6,678,456,489,503
1301001;Carauari;6,787,302,090,244;14,195,682,372,606;10,755,005,973,845;18,977,550,851,366
1301100;Careiro;16,253,253,492,973;25,901,285,396,316;27,179,006,653,264;19,627,420,409,085
1301159;Careiro da Várzea;;;12,036,675,867,969;14,432,858,934,192
1301209;Coari;11,227,122,925,196;29,456,858,537,699;22,016,526,869,135;54,155,333,080,609
1301308;Codajás;4,360,102,350,953;10,108,409,430,008;10,012,376,961,856;1,211,177,174,309
1301407;Eirunepé;3,110,760,610,087;12,064,218,061,437;8,255,373,907,977;18,087,307,226,237
1301506;Envira;3,744,874,370,781;9,627,526,669,443;5,809,902,524,364;8,361,245,751,275
1301605;Fonte Boa;3,811,989,447,513;10,907,570,098,958;8,456,656,474,788;14,385,457,188,067
1301654;Guajará;;;5,809,939,331,806;4,568,421,427,175
1301704;Humaitá;6,083,753,607,309;26,566,551,420,732;25,530,555,830,697;43,441,081,489,818
1301803;Ipixuna;368,308,481,353;9,716,756,012,629;2,611,094,711,141;5,737,655,071,435
1301852;Iranduba;;;15,089,560,728,699;36,452,830,547,155
1301902;Itacoatiara;14,153,636,025,527;5,703,937,933,721;48,912,410,418,065;83,574,426,961,808
1301951;Itamarati;;;5,820,409,345,126;4,181,897,054,995
1302009;Itapiranga;999,042,325,235;5,301,982,929,304;3,469,526,046,424;5,414,689,199,465
1302108;Japurá;1,050,045,530,869;2,582,973,300,657;6,625,447,810,544;5,423,210,328,938
1302207;Juruá;2,738,022,572,331;714,518,023,159;2,188,620,474,095;526,842,188,336
1302306;Jutaí;2,688,855,752,726;9,285,890,073,748;7,036,798,298,392;14,774,763,791,837
1302405;Lábrea;4,919,513,861,061;18,788,202,637,421;19,162,317,069,155;18,734,455,672,929
1302504;Manacapuru;16,753,311,073,614;61,504,849,831,585;42,086,629,427,637;73,681,063,441,598
1302553;Manaquiri;;;7,281,278,354,561;14,363,202,298,826
1302603;Manaus;314,570,896,924,019;141,159,215,598,391;204,692,860,792,245;363,753,330,490,687
1302702;Manicoré;834,031,442,383;28,090,149,960,484;22,679,529,174,096;26,588,624,355,276
1302801;Maraã;2,738,921,434,966;6,071,316,399,634;5,932,864,577,864;967,227,316,772
1302900;Maués;10,135,014,489,094;22,298,234,089,832;29,435,651,442,252;38,001,397,334,187
1303007;Nhamundá;432,518,202,085;7,995,432,596,412;7,054,318,339,773;10,533,156,333,709
1303106;Nova Olinda do Norte;3,335,369,951,704;1,228,845,814,403;8,718,137,059,981;16,867,814,867,821
1303205;Novo Airão;5,521,867,808,658;3,581,324,420,671;7,908,698,769,862;8,976,062,533,996
1303304;Novo Aripuanã;7,299,731,113,601;9,462,776,549,398;8,669,853,738,053;12,045,148,259,775
1303403;Parintins;16,014,958,242,852;46,326,278,128,591;45,984,709,113,889;83,725,778,558,785
1303502;Pauini;3,262,900,359,921;8,630,052,385,103;11,873,066,863,592;6,548,988,760,825
1303536;Presidente Figueiredo;;;10,928,087,576,557;33,390,720,643,052
1303569;Rio Preto da Eva;;;5,322,255,116,485;18,848,108,009,529
1303601;Santa Isabel do Rio Negro;1,249,187,097,832;3,777,379,411,311;6,013,759,755,359;5,864,912,233,789
1303700;Santo Antônio do Içá;3,230,164,362,673;8,537,323,316,084;8,635,287,811,892;13,645,137,677,001
1303809;São Gabriel da Cachoeira;6,107,104,705,435;12,461,662,985,168;22,003,742,218,847;3,389,918,348,199
1303908;São Paulo de Olivença;5,769,547,957,901;12,787,129,870,764;3,843,013,911,634;11,540,207,886,101
1303957;São Sebastião do Uatumã;;;5,000,697,235,631;5,278,939,882,798
1304005;Silves;1,397,277,133,214;1,216,802,563,781;5,667,232,894,126;5,703,047,247,563
1304062;Tabatinga;;;20,347,571,402,988;5,380,486,303,305
1304104;Tapauá;4,662,110,531,059;14,687,956,828,127;8,214,708,824,397;959,914,214,415
1304203;Tefé;90,991,477,914;28,595,065,276,961;39,701,716,437,081;76,001,527,057,458
1304237;Tonantins;;;4,028,131,108,993;8,839,462,832,151
1304260;Uarini;;;5,015,855,086,725;7,711,010,632,959
1304302;Urucará;2,128,835,335,672;8,065,767,183,728;9,364,681,378,681;26,084,394,617,441
1304401;Urucurituba;23,074,287,095;8,888,691,129,979;563,138,292,107;7,738,980,308,759
1600055;Serra do Navio;;;;4,340,351,463,362
1600105;Amapá;3,998,324,638,228;6,301,471,202,585;611,217,531,898;9,816,105,161,554
1600154;Pedra Branca do Amaparí;;;;377,443,301,372
1600204;Calçoene;1,474,830,614,737;3,796,252,660,736;4,920,244,373,915;7,979,080,157,618
1600212;Cutias;;;;2,761,584,700,076
1600238;Ferreira Gomes;;;1,299,442,810,509;3,663,443,694,371
1600253;Itaubal;;;;2,517,644,670,494
1600279;Laranjal do Jari;;;24,691,718,553,119;44,411,899,157,304
