"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"270410";"Lagoa da Canoa";"2200";"1991";"8004";"1991";"169.194.199";"15900";"1789"
"9115";"Município (1991)";"313720";"Lagoa da Prata";"2201";"1991";"8004";"1991";"931.613.444";"30816";"3315"
"9115";"Município (1991)";"240620";"Lagoa d'Anta";"2202";"1991";"8004";"1991";"50.246.355";"5071";"1125"
"9115";"Município (1991)";"250820";"Lagoa de Dentro";"2203";"1991";"8004";"1991";"88.723.467";"7322";"1743"
"9115";"Município (1991)";"240630";"Lagoa de Pedras";"2204";"1991";"8004";"1991";"42.938.513";"5049";"966"
"9115";"Município (1991)";"240640";"Lagoa de Velhos";"2205";"1991";"8004";"1991";"24.024.559";"1968";"371"
"9115";"Município (1991)";"260850";"Lagoa do Itaenga";"2206";"1991";"8004";"1991";"203.435.744";"16508";"1752"
"9115";"Município (1991)";"260860";"Lagoa do Ouro";"2207";"1991";"8004";"1991";"120.577.545";"11375";"1548"
"9115";"Município (1991)";"260870";"Lagoa dos Gatos";"2208";"1991";"8004";"1991";"188.332.250";"16762";"1699"
"9115";"Município (1991)";"313730";"Lagoa dos Patos";"2209";"1991";"8004";"1991";"83.670.982";"4120";"795"
"9115";"Município (1991)";"313740";"Lagoa Dourada";"2210";"1991";"8004";"1991";"212.233.560";"10118";"2429"
"9115";"Município (1991)";"313750";"Lagoa Formosa";"2211";"1991";"8004";"1991";"491.421.568";"15949";"1750"
"9115";"Município (1991)";"240650";"Lagoa Nova";"2212";"1991";"8004";"1991";"100.402.190";"10786";"2230"
"9115";"Município (1991)";"291875";"Lagoa Real";"2213";"1991";"8004";"1991";"43.624.058";"10978";"2350"
"9115";"Município (1991)";"240660";"Lagoa Salgada";"2214";"1991";"8004";"1991";"65.003.860";"6130";"1388"
"9115";"Município (1991)";"313760";"Lagoa Santa";"2215";"1991";"8004";"1991";"1.199.109.140";"29824";"2944"
"9115";"Município (1991)";"250830";"Lagoa Seca";"2216";"1991";"8004";"1991";"459.130.942";"21660";"2231"
"9115";"Município (1991)";"431130";"Lagoa Vermelha";"2217";"1991";"8004";"1991";"963.742.449";"28733";"2912"
"9115";"Município (1991)";"431125";"Lagoão";"2218";"1991";"8004";"1991";"89.899.827";"6037";"1279"
"9115";"Município (1991)";"352630";"Lagoinha";"2219";"1991";"8004";"1991";"110.770.326";"4635";"1098"
"9115";"Município (1991)";"420940";"Laguna";"2220";"1991";"8004";"1991";"1.289.638.512";"44862";"4683"
"9115";"Município (1991)";"291880";"Laje";"2221";"1991";"8004";"1991";"292.219.587";"18319";"2061"
"9115";"Município (1991)";"330230";"Laje do Muriaé";"2222";"1991";"8004";"1991";"165.307.059";"7464";"1683"
"9115";"Município (1991)";"431140";"Lajeado";"2223";"1991";"8004";"1991";"3.622.839.680";"63944";"6279"
"9115";"Município (1991)";"291890";"Lajedão";"2224";"1991";"8004";"1991";"136.680.852";"3818";"860"
"9115";"Município (1991)";"291900";"Lajedinho";"2225";"1991";"8004";"1991";"50.000.851";"6225";"1263"
"9115";"Município (1991)";"260880";"Lajedo";"2226";"1991";"8004";"1991";"575.791.776";"29718";"3112"
"9115";"Município (1991)";"291905";"Lajedo do Tabocal";"2227";"1991";"8004";"1991";"71.029.042";"6476";"1222"
"9115";"Município (1991)";"240670";"Lajes";"2228";"1991";"8004";"1991";"118.906.588";"8687";"1744"
"9115";"Município (1991)";"240680";"Lajes Pintadas";"2229";"1991";"8004";"1991";"42.178.928";"4459";"976"
"9115";"Município (1991)";"313770";"Lajinha";"2230";"1991";"8004";"1991";"393.660.550";"17231";"1764"
"9115";"Município (1991)";"291910";"Lamarão";"2231";"1991";"8004";"1991";"91.256.994";"10275";"2288"
"9115";"Município (1991)";"313780";"Lambari";"2232";"1991";"8004";"1991";"522.920.895";"16071";"1586"
"9115";"Município (1991)";"313790";"Lamim";"2233";"1991";"8004";"1991";"44.770.810";"3572";"790"
"9115";"Município (1991)";"220560";"Landri Sales";"2234";"1991";"8004";"1991";"79.260.431";"5681";"1248"
"9115";"Município (1991)";"411320";"Lapa";"2235";"1991";"8004";"1991";"1.190.667.148";"40150";"4096"
"9115";"Município (1991)";"291915";"Lapão";"2236";"1991";"8004";"1991";"282.664.167";"20913";"2131"
"9115";"Município (1991)";"320316";"Laranja da Terra";"2237";"1991";"8004";"1991";"184.444.720";"10635";"2253"
"9115";"Município (1991)";"313800";"Laranjal";"2238";"1991";"8004";"1991";"120.838.598";"5948";"1253"
"9115";"Município (1991)";"160027";"Laranjal do Jari";"2239";"1991";"8004";"1991";"675.319.643";"21372";"2017"
"9115";"Município (1991)";"352640";"Laranjal Paulista";"2240";"1991";"8004";"1991";"1.041.351.867";"19144";"1887"
"9115";"Município (1991)";"280360";"Laranjeiras";"2241";"1991";"8004";"1991";"278.267.483";"18944";"1868"
"9115";"Município (1991)";"411330";"Laranjeiras do Sul";"2242";"1991";"8004";"1991";"1.442.261.781";"54102";"5365"
"9115";"Município (1991)";"313810";"Lassance";"2243";"1991";"8004";"1991";"131.726.626";"6639";"1413"
"9115";"Município (1991)";"250840";"Lastro";"2244";"1991";"8004";"1991";"15.561.334";"3278";"653"
"9115";"Município (1991)";"420950";"Laurentino";"2245";"1991";"8004";"1991";"157.519.794";"4326";"942"
"9115";"Município (1991)";"291920";"Lauro de Freitas";"2246";"1991";"8004";"1991";"3.117.000.640";"69270";"7213"
"9115";"Município (1991)";"420960";"Lauro Muller";"2247";"1991";"8004";"1991";"350.793.158";"13936";"2905"
