"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"3140407";"Marmelópolis";"2940";"2000";"8005";"2000";"479.769";"3293";"721"
"9035";"Município";"4312054";"Marques de Souza";"2941";"2000";"8005";"2000";"1.188.626";"4241";"836"
"9035";"Município";"4115457";"Marquinho";"2942";"2000";"8005";"2000";"612.062";"5659";"1357"
"9035";"Município";"3140506";"Martinho Campos";"2943";"2000";"8005";"2000";"2.672.983";"11817";"2380"
"9035";"Município";"2307908";"Martinópole";"2944";"2000";"8005";"2000";"483.670";"8602";"1875"
"9035";"Município";"3529203";"Martinópolis";"2945";"2000";"8005";"2000";"5.025.925";"22346";"2599"
"9035";"Município";"2407401";"Martins";"2946";"2000";"8005";"2000";"684.741";"7725";"1679"
"9035";"Município";"3140530";"Martins Soares";"2947";"2000";"8005";"2000";"1.008.026";"5685";"1192"
"9035";"Município";"2804003";"Maruim";"2948";"2000";"8005";"2000";"1.473.715";"15454";"3216"
"9035";"Município";"4115507";"Marumbi";"2949";"2000";"8005";"2000";"831.798";"4612";"994"
"9035";"Município";"5212907";"Marzagão";"2950";"2000";"8005";"2000";"418.781";"1920";"445"
"9035";"Município";"2920908";"Mascote";"2951";"2000";"8005";"2000";"1.201.994";"16093";"1983"
"9035";"Município";"2308005";"Massapê";"2952";"2000";"8005";"2000";"2.053.622";"29574";"2999"
"9035";"Município";"2206050";"Massapê do Piauí";"2953";"2000";"8005";"2000";"364.756";"5988";"1210"
"9035";"Município";"2509206";"Massaranduba";"2954";"2000";"8005";"2000";"927.422";"11697";"2332"
"9035";"Município";"4210605";"Massaranduba";"2955";"2000";"8005";"2000";"4.165.683";"12562";"2509"
"9035";"Município";"4312104";"Mata";"2956";"2000";"8005";"2000";"953.311";"5575";"1102"
"9035";"Município";"2921005";"Mata de São João";"2957";"2000";"8005";"2000";"4.198.124";"32568";"3177"
"9035";"Município";"2705002";"Mata Grande";"2958";"2000";"8005";"2000";"1.530.596";"25032";"3507"
"9035";"Município";"2106409";"Mata Roma";"2959";"2000";"8005";"2000";"636.402";"11799";"2718"
"9035";"Município";"3140555";"Mata Verde";"2960";"2000";"8005";"2000";"798.663";"7085";"1443"
"9035";"Município";"3529302";"Matão";"2961";"2000";"8005";"2000";"22.695.614";"71753";"7376"
"9035";"Município";"2509305";"Mataraca";"2962";"2000";"8005";"2000";"395.036";"5500";"1105"
"9035";"Município";"1712702";"Mateiros";"2963";"2000";"8005";"2000";"84.032";"1646";"208"
"9035";"Município";"4115606";"Matelândia";"2964";"2000";"8005";"2000";"3.363.541";"14344";"2942"
"9035";"Município";"3140605";"Materlândia";"2965";"2000";"8005";"2000";"424.507";"4846";"1034"
"9035";"Município";"3140704";"Mateus Leme";"2966";"2000";"8005";"2000";"5.282.673";"24144";"2523"
"9035";"Município";"3171501";"Mathias Lobato";"2967";"2000";"8005";"2000";"423.401";"3642";"683"
"9035";"Município";"3140803";"Matias Barbosa";"2968";"2000";"8005";"2000";"2.761.932";"12323";"2509"
"9035";"Município";"3140852";"Matias Cardoso";"2969";"2000";"8005";"2000";"513.468";"8600";"1886"
"9035";"Município";"2206100";"Matias Olímpio";"2970";"2000";"8005";"2000";"583.215";"9727";"1895"
"9035";"Município";"2921054";"Matina";"2971";"2000";"8005";"2000";"441.442";"10242";"2403"
"9035";"Município";"2106508";"Matinha";"2972";"2000";"8005";"2000";"1.163.201";"20046";"2467"
"9035";"Município";"2509339";"Matinhas";"2973";"2000";"8005";"2000";"287.630";"4086";"719"
"9035";"Município";"4115705";"Matinhos";"2974";"2000";"8005";"2000";"6.964.123";"24184";"2389"
"9035";"Município";"3140902";"Matipó";"2975";"2000";"8005";"2000";"2.811.675";"16291";"3890"
